"","...1","Full-time faculty","...3","...4","...5","Part-time faculty","...7","...8","...9"
"1","State","Total","Tenured","Non-tenured, on 
tenure track","Not on tenure track/ no 
tenure system","Total","Tenured","Non-tenured, on 
tenure track","Not on tenure track/ no 
tenure system"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","United States","706752","303529","133086","270137","528302","7451","3933","516918"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Alabama","10978","5614","2554","2810","6423","100","126","6197"
"6","Alaska","1325","510","334","481","1249","50","16","1183"
"7","Arizona","9182","3315","1026","4841","20254","118","30","20106"
"8","Arkansas","6956","2351","1142","3463","2968","77","11","2880"
"9","California","61855","33677","11168","17010","79460","1512","128","77820"
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Colorado","11976","3740","2029","6207","10428","111","89","10228"
"12","Connecticut","8928","4217","2195","2516","6850","30","40","6780"
"13","Delaware","1936","883","289","764","1200","11","0","1189"
"14","District of Columbia","5289","2418","932","1939","3337","6","8","3323"
"15","Florida","33732","13286","4970","15476","20717","743","609","19365"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Georgia","20411","7099","3912","9400","10045","62","21","9962"
"18","Hawaii","3573","1791","515","1267","2816","4","0","2812"
"19","Idaho","3274","1642","609","1023","1230","41","8","1181"
"20","Illinois","29150","14300","6185","8665","25140","244","69","24827"
"21","Indiana","16049","7444","3115","5490","9645","120","10","9515"
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Iowa","9546","3708","1617","4221","4343","225","30","4088"
"24","Kansas","7638","3867","1566","2205","4162","209","22","3931"
"25","Kentucky","11433","5111","1986","4336","6327","105","4","6218"
"26","Louisiana","13293","5833","2546","4914","4160","109","32","4019"
"27","Maine","2743","1281","512","950","1849","64","9","1776"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Maryland","15460","5445","3348","6667","13302","140","58","13104"
"30","Massachusetts","23232","10015","4224","8993","16229","233","141","15855"
"31","Michigan","20730","9815","3830","7085","17175","224","103","16848"
"32","Minnesota","12364","7200","2246","2918","8489","194","57","8238"
"33","Mississippi","10314","1984","1549","6781","2722","53","18","2651"
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Missouri","17015","5810","2800","8405","14384","69","26","14289"
"36","Montana","2294","1123","546","625","1211","37","10","1164"
"37","Nebraska","6067","2485","1252","2330","3257","42","15","3200"
"38","Nevada","3888","1535","624","1729","3127","35","9","3083"
"39","New Hampshire","3456","1370","588","1498","3042","43","75","2924"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","New Jersey","14390","7525","3267","3598","11906","96","43","11767"
"42","New Mexico","4597","1726","845","2026","4802","24","11","4767"
"43","New York","53151","25379","13732","14040","48187","389","588","47210"
"44","North Carolina","23079","8388","4324","10367","17605","111","53","17441"
"45","North Dakota","2542","872","530","1140","806","0","0","806"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Ohio","26472","12763","4945","8764","20213","323","39","19851"
"48","Oklahoma","9882","3951","1858","4073","4752","47","4","4701"
"49","Oregon","9074","3290","1382","4402","8353","160","33","8160"
"50","Pennsylvania","35985","15441","6764","13780","19948","253","53","19642"
"51","Rhode Island","3674","1804","556","1314","1163","32","7","1124"
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","South Carolina","9822","3665","2156","4001","5308","61","45","5202"
"54","South Dakota","2269","772","470","1027","987","5","3","979"
"55","Tennessee","14918","6711","3115","5092","6842","120","25","6697"
"56","Texas","47043","16376","8103","22564","29449","384","193","28872"
"57","Utah","7743","3333","1644","2766","3803","56","6","3741"
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Vermont","2510","993","441","1076","1410","18","1","1391"
"60","Virginia","20310","6887","2860","10563","12392","36","8","12348"
"61","Washington","14083","6636","2034","5413","11028","102","16","10910"
"62","West Virginia","4587","2194","958","1435","2721","38","10","2673"
"63","Wisconsin","14924","5332","2642","6950","10397","175","1015","9207"
"64","Wyoming","1610","622","251","737","689","10","6","673"
"65","NOTE: These data are from the Employees by Assigned Position (EAP) survey component and therefore represent all contract lengths. Counts include enrollment in administrative units, which are defined as the systems or central offices in multi-campus environments. This may lead to discrepancies when comparing figures to tables that do not include these counts.",NA,NA,NA,NA,NA,NA,NA,NA
"66","SOURCE:  U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Employees by Assigned Position component, Winter 2004-05.",NA,NA,NA,NA,NA,NA,NA,NA
